P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,,SP,Clayton Kershaw (6699476),Clayton Kershaw,6699476,13300,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Jake Arrieta (6699404),Jake Arrieta,6699404,13100,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Jon Lester (6699399),Jon Lester,6699399,12900,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Jose Fernandez (6699392),Jose Fernandez,6699392,12000,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Stephen Strasburg (6699447),Stephen Strasburg,6699447,11800,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Noah Syndergaard (6699484),Noah Syndergaard,6699484,11500,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Vince Velasquez (6699369),Vince Velasquez,6699369,11400,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Max Scherzer (6699444),Max Scherzer,6699444,11300,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,John Lackey (6699396),John Lackey,6699396,11100,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Jacob deGrom (6699485),Jacob deGrom,6699485,10800,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Aaron Nola (6699373),Aaron Nola,6699373,10800,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Kenta Maeda (6699478),Kenta Maeda,6699478,10000,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Matt Harvey (6699479),Matt Harvey,6699479,10000,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Masahiro Tanaka (6699350),Masahiro Tanaka,6699350,10000,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,SP,Jason Hammel (6699398),Jason Hammel,6699398,9900,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,David Price (6699322),David Price,6699322,9800,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Steven Matz (6699481),Steven Matz,6699481,9700,NYM@LAD 10:10PM ET,NYM,
