P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,,SP,Julio Teheran (6699362),Julio Teheran,6699362,9600,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Drew Pomeranz (6699405),Drew Pomeranz,6699405,9400,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Rick Porcello (6699324),Rick Porcello,6699324,9200,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Francisco Liriano (6699416),Francisco Liriano,6699416,9000,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Carlos Martinez (6699466),Carlos Martinez,6699466,9000,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Kyle Hendricks (6699412),Kyle Hendricks,6699412,9000,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Jaime Garcia (6699457),Jaime Garcia,6699457,8900,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Hyun-Jin Ryu (6699488),Hyun-Jin Ryu,6699488,8900,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Zack Wheeler (6699480),Zack Wheeler,6699480,8800,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Garrett Richards (6699464),Garrett Richards,6699464,8800,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Jordan Zimmermann (6699445),Jordan Zimmermann,6699445,8700,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,SP,Gerrit Cole (6699422),Gerrit Cole,6699422,8700,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Gio Gonzalez (6699441),Gio Gonzalez,6699441,8500,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Ian Kennedy (6699343),Ian Kennedy,6699343,8500,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,Michael Wacha (6699470),Michael Wacha,6699470,8500,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Tyson Ross (6699406),Tyson Ross,6699406,8300,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Brandon McCarthy (6699474),Brandon McCarthy,6699474,8200,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Scott Kazmir (6699475),Scott Kazmir,6699475,8200,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Tanner Roark (6699446),Tanner Roark,6699446,8200,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Justin Verlander (6699442),Justin Verlander,6699442,8100,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,SP,Steven Wright (6699320),Steven Wright,6699320,8100,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Jimmy Nelson (6699390),Jimmy Nelson,6699390,8100,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,SP,Jerad Eickhoff (6699371),Jerad Eickhoff,6699371,8000,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Tyler Skaggs (6699463),Tyler Skaggs,6699463,7900,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,RP,Zach Lee (6699688),Zach Lee,6699688,7900,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Wei-Yin Chen (6699382),Wei-Yin Chen,6699382,7800,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Tyler Glasnow (6699436),Tyler Glasnow,6699436,7800,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Joe Ross (6699450),Joe Ross,6699450,7700,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Matt Wisler (6699374),Matt Wisler,6699374,7700,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Raisel Iglesias (6699439),Raisel Iglesias,6699439,7700,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Charlie Morton (6699356),Charlie Morton,6699356,7600,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Bud Norris (6699360),Bud Norris,6699360,7600,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Aaron Blair (6699370),Aaron Blair,6699370,7600,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Jeremy Hellickson (6699359),Jeremy Hellickson,6699359,7500,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Michael Pineda (6699347),Michael Pineda,6699347,7500,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,SP,Adam Conley (6699393),Adam Conley,6699393,7500,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,C.J. Wilson (6699454),C.J. Wilson,6699454,7400,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Anibal Sanchez (6699440),Anibal Sanchez,6699440,7400,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,RP,Jorge Lopez (6699577),Jorge Lopez,6699577,7400,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,SP,Adam Wainwright (6699453),Adam Wainwright,6699453,7300,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Nathan Eovaldi (6699348),Nathan Eovaldi,6699348,7300,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,SP,Anthony DeSclafani (6699425),Anthony DeSclafani,6699425,7300,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Yordano Ventura (6699351),Yordano Ventura,6699351,7300,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,Lucas Giolito (6699452),Lucas Giolito,6699452,7300,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Brandon Morrow (6699402),Brandon Morrow,6699402,7200,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,James Shields (6699397),James Shields,6699397,7100,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Hector Santiago (6699460),Hector Santiago,6699460,7100,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Colin Rea (6699413),Colin Rea,6699413,7100,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Bartolo Colon (6699472),Bartolo Colon,6699472,7000,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Homer Bailey (6699418),Homer Bailey,6699418,7000,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Brett Anderson (6699477),Brett Anderson,6699477,7000,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Andrew Heaney (6699465),Andrew Heaney,6699465,7000,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Jameson Taillon (6699429),Jameson Taillon,6699429,7000,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Eduardo Rodriguez (6699332),Eduardo Rodriguez,6699332,7000,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Mike Minor (6699345),Mike Minor,6699345,6900,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,CC Sabathia (6699339),CC Sabathia,6699339,6800,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,SP,Rich Hill (6699316),Rich Hill,6699316,6800,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,SP,Clay Buchholz (6699318),Clay Buchholz,6699318,6800,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Manny Banuelos (6699363),Manny Banuelos,6699363,6800,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Henry Owens (6699334),Henry Owens,6699334,6800,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Tim Cooney (6699469),Tim Cooney,6699469,6800,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Brian Johnson (6699330),Brian Johnson,6699330,6700,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Luis Severino (6699354),Luis Severino,6699354,6700,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,SP,Nick Kingham (6699430),Nick Kingham,6699430,6600,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Michael Fulmer (6699449),Michael Fulmer,6699449,6600,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,SP,Zach Davies (6699394),Zach Davies,6699394,6600,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,SP,Edinson Volquez (6699341),Edinson Volquez,6699341,6500,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,John Lamb (6699424),John Lamb,6699424,6500,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,RP,Brett Oberholtzer (6699544),Brett Oberholtzer,6699544,6500,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Taylor Jungmann (6699384),Taylor Jungmann,6699384,6500,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,SP,Alex Wood (6699487),Alex Wood,6699487,6500,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Robbie Erlin (6699408),Robbie Erlin,6699408,6400,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Josh Smith (6699432),Josh Smith,6699432,6400,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Dallas Beeler (6699411),Dallas Beeler,6699411,6400,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Robert Stephenson (6699435),Robert Stephenson,6699435,6400,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Tom Koehler (6699383),Tom Koehler,6699383,6300,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Williams Perez (6699365),Williams Perez,6699365,6300,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Jhoulys Chacin (6699361),Jhoulys Chacin,6699361,6200,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,RP,A.J. Cole (6699643),A.J. Cole,6699643,6200,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Jason Vargas (6699342),Jason Vargas,6699342,6100,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,RP,Kendry Flores (6699574),Kendry Flores,6699574,6100,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Mike Foltynewicz (6699367),Mike Foltynewicz,6699367,6100,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Jeff Locke (6699420),Jeff Locke,6699420,6000,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Mike Leake (6699459),Mike Leake,6699459,6000,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Juan Nicasio (6699421),Juan Nicasio,6699421,6000,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Mike Bolsinger (6699482),Mike Bolsinger,6699482,6000,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Jarred Cosart (6699389),Jarred Cosart,6699389,6000,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Jered Weaver (6699456),Jered Weaver,6699456,5900,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Matt Garza (6699380),Matt Garza,6699380,5800,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,SP,Kris Medlen (6699344),Kris Medlen,6699344,5800,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,Sonny Gray (6699327),Sonny Gray,6699327,5800,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,SP,Chase Anderson (6699385),Chase Anderson,6699385,5800,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,RP,Matt Boyd (6699647),Matt Boyd,6699647,5800,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,SP,Sean Manaea (6699338),Sean Manaea,6699338,5800,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,SP,Cesar Vargas (6699410),Cesar Vargas,6699410,5600,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Ross Stripling (6699486),Ross Stripling,6699486,5600,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,SP,Kyle Zimmer (6699353),Kyle Zimmer,6699353,5600,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,Ryan Vogelsong (6699415),Ryan Vogelsong,6699415,5500,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Tyler Cravy (6699386),Tyler Cravy,6699386,5500,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,SP,Jesse Hahn (6699331),Jesse Hahn,6699331,5500,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,SP,Adam Morgan (6699372),Adam Morgan,6699372,5500,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Jarrod Parker (6699323),Jarrod Parker,6699323,5400,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,1B,Anthony Rizzo (6699758),Anthony Rizzo,6699758,5400,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,RP,David Phelps (6699570),David Phelps,6699570,5400,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Joe Kelly (6699329),Joe Kelly,6699329,5400,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Logan Verrett (6699483),Logan Verrett,6699483,5400,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Tyrell Jenkins (6699366),Tyrell Jenkins,6699366,5400,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Nick Tropeano (6699468),Nick Tropeano,6699468,5400,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Chris Young (6699340),Chris Young,6699340,5300,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,OF,Starling Marte (6699997),Starling Marte,6699997,5300,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Tim Adleman (6699433),Tim Adleman,6699433,5300,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Marco Gonzales (6699467),Marco Gonzales,6699467,5300,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,OF,Dexter Fowler (6699979),Dexter Fowler,6699979,5200,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Sean O'Sullivan (6699319),Sean O'Sullivan,6699319,5200,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Ivan Nova (6699346),Ivan Nova,6699346,5200,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,SP,Brandon Finnegan (6699437),Brandon Finnegan,6699437,5200,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Wily Peralta (6699381),Wily Peralta,6699381,5100,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,OF,Giancarlo Stanton (6699968),Giancarlo Stanton,6699968,5100,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,SP,Matt Shoemaker (6699462),Matt Shoemaker,6699462,5100,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,OF,Mookie Betts (6699939),Mookie Betts,6699939,5100,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Roenis Elias (6699336),Roenis Elias,6699336,5100,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,2B,Ben Zobrist (6699796),Ben Zobrist,6699796,5000,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,OF,Andrew McCutchen (6699992),Andrew McCutchen,6699992,5000,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SP,Brandon Workman (6699325),Brandon Workman,6699325,5000,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Justin Nicolino (6699391),Justin Nicolino,6699391,5000,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,1B,David Ortiz (6699745),David Ortiz,6699745,4900,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Alfredo Simon (6699417),Alfredo Simon,6699417,4900,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Matt Harrison (6699358),Matt Harrison,6699358,4900,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,SP,Kyle Kendrick (6699455),Kyle Kendrick,6699455,4900,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,SP,Jonathon Niese (6699419),Jonathon Niese,6699419,4900,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,RP,Taylor Jordan (6699634),Taylor Jordan,6699634,4900,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,OF,Gregory Polanco (6699999),Gregory Polanco,6699999,4900,Pit@Cin 07:10PM ET,Pit,
,,,,,,,,,,,SS,Xander Bogaerts (6699893),Xander Bogaerts,6699893,4900,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Jon Moscot (6699434),Jon Moscot,6699434,4900,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,OF,Ryan Braun (6699965),Ryan Braun,6699965,4800,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,OF,Bryce Harper (6700016),Bryce Harper,6700016,4800,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,1B,Hanley Ramirez (6699746),Hanley Ramirez,6699746,4700,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,2B,Dustin Pedroia (6699787),Dustin Pedroia,6699787,4700,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,RP,Danny Duffy (6699520),Danny Duffy,6699520,4700,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,SP,Eric Surkamp (6699326),Eric Surkamp,6699326,4700,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,SP,Shane Greene (6699448),Shane Greene,6699448,4700,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,SP,Michael Lorenzen (6699431),Michael Lorenzen,6699431,4700,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Chris Bassitt (6699335),Chris Bassitt,6699335,4700,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,SP,Andrew Cashner (6699403),Andrew Cashner,6699403,4600,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,OF,Mike Trout (6700023),Mike Trout,6700023,4600,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,2B,Daniel Murphy (6699806),Daniel Murphy,6699806,4500,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Tim Melville (6699423),Tim Melville,6699423,4500,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Henderson Alvarez (6699328),Henderson Alvarez,6699328,4500,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,OF,Yoenis Cespedes (6700037),Yoenis Cespedes,6700037,4500,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,SP,Felix Doubront (6699321),Felix Doubront,6699321,4400,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,2B,Dee Gordon (6699794),Dee Gordon,6699794,4400,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,RP,Tyler Lyons (6699660),Tyler Lyons,6699660,4400,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,OF,Christian Yelich (6699975),Christian Yelich,6699975,4400,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,3B/OF,Kris Bryant (6699882),Kris Bryant,6699882,4400,SD@ChC 08:05PM ET,ChC,
,,,,,,,,,,,SP,Mike Pelfrey (6699443),Mike Pelfrey,6699443,4300,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,1B,Eric Hosmer (6699752),Eric Hosmer,6699752,4300,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,RP,Casey Kelly (6699542),Casey Kelly,6699542,4300,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,3B,Matt Carpenter (6699859),Matt Carpenter,6699859,4300,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Dan Straily (6699427),Dan Straily,6699427,4300,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,3B,Travis Shaw (6699841),Travis Shaw,6699841,4300,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,OF,Jacoby Ellsbury (6699944),Jacoby Ellsbury,6699944,4200,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,RP,Dillon Gee (6699518),Dillon Gee,6699518,4200,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,OF,Stephen Piscotty (6700025),Stephen Piscotty,6700025,4200,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,SP,Jose Urena (6699388),Jose Urena,6699388,4200,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,OF,Matt Kemp (6699978),Matt Kemp,6699978,4100,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,OF,Brock Holt (6699937),Brock Holt,6699937,4100,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,SP,Sean Nolin (6699387),Sean Nolin,6699387,4100,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,OF,Jackie Bradley Jr. (6699938),Jackie Bradley Jr.,6699938,4100,Oak@Bos 07:10PM ET,Bos,
,,,,,,,,,,,RP,Gabriel Ynoa (6699690),Gabriel Ynoa,6699690,4100,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,RP,Joe Nathan (6699623),Joe Nathan,6699623,4000,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,RP,Buddy Carlyle (6699669),Buddy Carlyle,6699669,4000,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,RP,Jason Grilli (6699532),Jason Grilli,6699532,4000,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,SP,Jason Marquis (6699414),Jason Marquis,6699414,4000,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,SP,Josh Beckett (6699473),Josh Beckett,6699473,4000,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,RP,Fernando Rodney (6699581),Fernando Rodney,6699581,4000,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,RP,Oliver Perez (6699624),Oliver Perez,6699624,4000,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,SP,Cliff Lee (6699355),Cliff Lee,6699355,4000,Phi@Atl 07:10PM ET,Phi,
,,,,,,,,,,,RP,Francisco Rodriguez (6699625),Francisco Rodriguez,6699625,4000,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,RP,Ryan Madson (6699490),Ryan Madson,6699490,4000,Oak@Bos 07:10PM ET,Oak,
,,,,,,,,,,,RP,Sean Burnett (6699648),Sean Burnett,6699648,4000,StL@LAA 10:05PM ET,LAA,
,,,,,,,,,,,RP,Chris Capuano (6699558),Chris Capuano,6699558,4000,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,RP,Scott Rice (6699670),Scott Rice,6699670,4000,NYM@LAD 10:10PM ET,NYM,
,,,,,,,,,,,RP,Jason Frasor (6699533),Jason Frasor,6699533,4000,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,RP,Blaine Boyer (6699559),Blaine Boyer,6699559,4000,Mil@Mia 07:10PM ET,Mil,
,,,,,,,,,,,RP,Chien-Ming Wang (6699510),Chien-Ming Wang,6699510,4000,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,RP,Joel Hanrahan (6699626),Joel Hanrahan,6699626,4000,Det@Was 07:05PM ET,Det,
,,,,,,,,,,,SP,Edwin Jackson (6699378),Edwin Jackson,6699378,4000,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,RP,Brandon League (6699671),Brandon League,6699671,4000,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,RP,Jim Johnson (6699534),Jim Johnson,6699534,4000,Phi@Atl 07:10PM ET,Atl,
,,,,,,,,,,,1B,Joey Votto (6699762),Joey Votto,6699762,4000,Pit@Cin 07:10PM ET,Cin,
,,,,,,,,,,,RP,Craig Breslow (6699560),Craig Breslow,6699560,4000,Mil@Mia 07:10PM ET,Mia,
,,,,,,,,,,,RP,Joe Blanton (6699672),Joe Blanton,6699672,4000,NYM@LAD 10:10PM ET,LAD,
,,,,,,,,,,,RP,Sergio Santos (6699511),Sergio Santos,6699511,4000,KC@NYY 07:05PM ET,NYY,
,,,,,,,,,,,RP,Jonathan Broxton (6699649),Jonathan Broxton,6699649,4000,StL@LAA 10:05PM ET,StL,
,,,,,,,,,,,RP,Carlos Villanueva (6699582),Carlos Villanueva,6699582,4000,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,SP,Josh Johnson (6699400),Josh Johnson,6699400,4000,SD@ChC 08:05PM ET,SD,
,,,,,,,,,,,RP,Joakim Soria (6699512),Joakim Soria,6699512,4000,KC@NYY 07:05PM ET,KC,
,,,,,,,,,,,RP,Matt Belisle (6699627),Matt Belisle,6699627,4000,Det@Was 07:05PM ET,Was,
,,,,,,,,,,,RP,Sean Marshall (6699603),Sean Marshall,6699603,4000,Pit@Cin 07:10PM ET,Cin,
